person,age,income,gender_F,gender_M,gender_O,became_year,became_month_sin,became_month_cos,became_day_sin,became_day_cos,became_dow_sin,became_dow_cos,offer_bogo,offer_disc,difficulty,duration,reward,email,mobile,social,web,t_received,t_viewed,amt_till_viewed,t_completed,amt_till_completed,0.0,6.0,12.0,18.0,24.0,30.0,36.0,42.0,48.0,54.0,60.0,66.0,72.0,78.0,84.0,90.0,96.0,102.0,108.0,114.0,denom_viewed,past_offers_num,past_completion_rate,short_little_comp_rate,short_little_count,short_lot_comp_rate,short_lot_count,long_little_comp_rate,long_little_count,long_lot_comp_rate,long_lot_count,t_left_when_viewed,amt_needed_when_viewed
31dda685af34476cad5bc968bdb01c53,62.0,71000.0,1.0,0.0,0.0,2016,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476625,0.43388373911755823,-0.9009688679024191,0,1,7,7,3,1,1,1,1,336,0.0,0.0,48.0,12.57,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,0.5,,0.0,0.0,1.0,,0.0,1.0,1.0,168.0,7.0
1e9420836d554513ab90eba98552d0a9,22.0,70000.0,0.0,1.0,0.0,2017,-1.0,-1.8369701987210292e-16,-0.9377521321470804,0.3473052528448203,0.0,1.0,1,0,10,5,10,1,1,1,1,336,18.0,0.0,78.0,30.2,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2,2,0.5,,0.0,0.5,2.0,,0.0,,0.0,102.0,10.0
99e9a1916821461ebd5d5048dc2dff7d,58.0,85000.0,1.0,0.0,0.0,2018,0.5,0.8660254037844387,-0.9377521321470804,0.3473052528448203,0.43388373911755823,-0.9009688679024191,0,1,20,10,5,1,0,0,1,336,36.0,15.99,72.0,44.31,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1.0,1.0,1.0,,0.0,,0.0,1.0,1.0,204.0,4.01
9aba5058cb4f483da896335a1479a944,65.0,119000.0,1.0,0.0,0.0,2017,-1.0,-1.8369701987210292e-16,0.9680771188662044,-0.2506525322587204,-0.9749279121818236,-0.2225209339563146,1,0,5,5,5,1,1,1,1,336,18.0,0.0,42.0,29.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1.0,,0.0,1.0,1.0,,0.0,1.0,1.0,102.0,5.0
127cd9d95e6247e5b92bff64d6205a94,46.0,60000.0,0.0,1.0,0.0,2014,-2.4492935982947064e-16,1.0,0.29936312297335804,-0.9541392564000488,-0.7818314824680299,0.6234898018587334,0,1,10,10,2,1,1,1,1,336,30.0,3.41,48.0,15.920000000000002,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0.5,1.0,1.0,,0.0,,0.0,0.0,1.0,210.0,6.59
031387fa9cfd47e88f4e4b4b4cb71925,41.0,83000.0,0.0,1.0,0.0,2017,-1.0,-1.8369701987210292e-16,-0.9680771188662042,-0.2506525322587213,-0.433883739117558,-0.9009688679024191,0,1,20,10,5,1,0,0,1,336,12.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0.0,,0.0,,0.0,,0.0,0.0,2.0,228.0,20.0
32fbf97e89274e8a935903f2ad095e1f,73.0,38000.0,0.0,1.0,0.0,2017,-2.4492935982947064e-16,1.0,0.6513724827222223,-0.758758122692791,0.7818314824680297,0.6234898018587336,1,0,5,7,5,1,1,0,1,336,24.0,0.0,30.0,11.73,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2,2,1.0,1.0,1.0,,0.0,,0.0,1.0,1.0,144.0,5.0
371d6b3a983547709252bbbcbedda147,58.0,76000.0,1.0,0.0,0.0,2017,0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,-0.7818314824680299,0.6234898018587334,0,1,7,7,3,1,1,1,1,336,36.0,0.0,114.0,31.76,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1.0,1.0,2.0,,0.0,,0.0,,0.0,132.0,7.0
39069e7cd52e474d8c97d8162609bca1,71.0,51000.0,0.0,1.0,0.0,2017,-2.4492935982947064e-16,1.0,0.7247927872291199,0.6889669190756866,0.0,1.0,1,0,10,5,10,1,1,1,1,336,48.0,0.0,108.0,16.22,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0.0,,0.0,0.0,1.0,,0.0,0.0,1.0,72.0,10.0
0e72fad934a74c2c97a98c525d64f738,59.0,59000.0,1.0,0.0,0.0,2018,0.5,0.8660254037844387,-0.10116832198743204,-0.9948693233918952,0.7818314824680297,0.6234898018587336,0,1,7,7,3,1,1,1,1,336,12.0,0.0,30.0,10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1.0,,0.0,1.0,2.0,,0.0,,0.0,156.0,7.0
